"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"17748";"eclock BR";"5.84711";"85.33";"2.23";"2020-07-14";"amber";"exposurelevel2";"44.4701";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing Accessories";"Clothing Accessories";"102";"BR";"A Eclock é uma empresa do Grupo Estrela de Ouro Jóias. Um grupo que nasceu há 16 anos com o sonho de dois irmãos de transformar o pequeno comércio de seu pai em uma das maiores empresas da cidade.";"https://ui.awin.com/images/upload/merchant/profile/17748.png";"https://www.eclock.com.br"
"123584";"Manual BR";"1.90461";"58.07";"1.53";"2026-02-12";"amber";"exposurelevel2";"41.5222";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"74";"BR";"MANUAL é uma marca dedicada ao bem‑estar masculino. Oferecemos soluções, informações e ferramentas práticas para que todo homem possa cuidar da saúde de forma proativa e viver com mais equilíbrio, vitalidade e felicidade.";"https://ui.awin.com/images/upload/merchant/profile/123584.png";"https://www.manual.com.br"
"124568";"Osang BR";"";"0.00";"0.00";"2026-03-09";"amber";"exposurelevel2";"0";"no";"no";"0";"0";"0";"0";"30";"";"";"";"null";"BR";"Multinacional coreana especialista em curadoria de marcas e produtos de skincare e K-Beauty. Qualidade, eficácia e tecnologia com pronta entrega no Brasil. A curadoria é nossa, o brilho é seu! Faça parte do nosso Programa de Afiliados.";"https://ui.awin.com/images/upload/merchant/profile/124568.png";"https://osangcosmetic.com/"
"46269";"Hipervarejo BR";"5.24225";"91.45";"1.53";"2023-04-18";"amber";"exposurelevel2";"71.213";"no";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Automotive";"Automotive";"61";"BR";"Somos uma loja online apaixonada por carros, caminhões e motos.Nosso foco é oferecer o melhor em autopeças, pneus e acessórios para você e seu veículo.Temos como missão garantir que a sua experiência na Hipervarejo seja perfeita. Para isso, vivemos em";"https://ui.awin.com/images/upload/merchant/profile/46269.png";"https://hipervarejo.com.br"
"64654";"Ferramentas Kennedy BR";"9.47865";"91.61";"1.82";"2023-10-02";"amber";"exposurelevel2";"77.5519";"yes";"no";"0";"0";"0";"0";"15";"Retail & Shopping";"Department Stores|Gadgets|Home & Garden";"Department Stores";"42";"BR";"A Ferramentas Kennedy se consagra no mercado das ferramentas, máquinas e equipamentos para diversos segmentos, desde 1995. Possuem mais de 35.000 itens disponíveis no e-commerce e prezam pelo atendimento eficiente e personalizado.";"https://ui.awin.com/images/upload/merchant/profile/64654.png";"https://www.ferramentaskennedy.com.br/"
"17619";"Forever Liss BR";"4.70866";"59.83";"0.39";"2020-05-12";"amber";"exposurelevel2";"46.3362";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"94";"BR";"A Forever Liss Professional, empresa especializada em desenvolver produtos Profissionais para Cabelo, alia tecnologia e resultado oferecendo tratamento de alto desempenho com qualidade segurança que trazem sempre uma solução para os profissionais.";"https://ui.awin.com/images/upload/merchant/profile/17619.png";"https://www.foreverliss.com.br"
"30511";"Lego BR";"2.87154";"94.18";"1.59";"2022-08-01";"green";"none";"68.078";"yes";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Gifts & Flowers|Toys & Games|Baby & Toddler";"Toys & Games";"47";"BR";"A casa oficial das peças de construção de brinquedo com links para produtos, jogos, vídeos, Loja LEGO®, história da LEGO, criações de fãs e nosso centro.";"https://ui.awin.com/images/upload/merchant/profile/30511.png";"https://www.lego.com.br/"
"41828";"WEMOBI BR";"8.9169";"98.00";"0.54";"2023-03-06";"amber";"exposurelevel2";"61.0717";"no";"no";"0";"0";"0";"0";"30";"Travel";"Tourism & Attractions|Travel Agencies";"Tourism & Attractions";"116";"BR";"A wemobi é uma plataforma de viagens 100% digital, da compra ao embarque, que chegou para transformar a experiência de mobilidade no Brasil, descomplicando a forma de viajar e tornando as viagens rodoviárias mais simples, seguras, confortáveis e econômica";"https://ui.awin.com/images/upload/merchant/profile/41828.png";"https://www.wemobi.me/"
"120992";"Melhor Seguro BR";"18.9245";"100.00";"11.84";"2026-01-06";"amber";"exposurelevel2";"84.1844";"no";"yes";"0";"0";"0";"0";"30";"Finance & Insurance";"Insurance";"Insurance";"78";"BR";"O Melhor Seguro é um comparador de seguro viagem que reúne as principais seguradoras do mercado em um só lugar. Com poucos cliques, você encontra ofertas especiais e soluções para viajar com tranquilidade e segurança.";"https://ui.awin.com/images/upload/merchant/profile/120992.png";"https://melhorseguro.com.br/"
"74062";"PM3 BR";"4.89473";"100.00";"9.81";"2025-05-13";"amber";"exposurelevel2";"50.8755";"no";"yes";"0";"0";"0";"0";"30";"Telco's & Services";"Education Training & Recruitment";"Education, Training & Recruitment";"76";"BR";"PM3, a escola referência em negócios e produtos digitais. Conectamos mais de 25 mil alunos através de cursos, atividades ao vivo, conteúdos aprofundados e a maior comunidade de Negócios e Produto digital do Brasil.";"https://ui.awin.com/images/upload/merchant/profile/74062.png";"https://www.cursospm3.com.br/"
